cutoff,train_end,n_train,n_test,mae,rmse,smape
1973-02-01,1973-01-01,36,12,0.00023405296086658267,0.0004001845001993155,83.34685950642789
1973-08-01,1973-07-01,42,12,0.0002132120117477014,0.00041430088823551144,66.68102417423403
1974-02-01,1974-01-01,48,12,0.0006125227235433768,0.001536430048173685,30.82194291004607
1974-08-01,1974-07-01,54,12,0.0007075291469204395,0.0015484958397297196,26.720124385549994
1975-02-01,1975-01-01,60,12,0.00028916791106810264,0.00043993539931584403,50.018993005447285
1975-08-01,1975-07-01,66,12,0.00011044291818851813,0.00016234127534582634,71.4346544304358
1976-02-01,1976-01-01,72,12,0.00017921397065677325,0.00024627402985092186,71.43623446863019
1976-08-01,1976-07-01,78,12,0.00019614032880112462,0.0002572282810934591,85.72014650263978
1977-02-01,1977-01-01,84,12,0.0002793607722847248,0.0005719701688664139,50.016819733555096
1977-08-01,1977-07-01,90,12,0.0009608858505328223,0.0014970319759696638,12.533483417587322
1978-02-01,1978-01-01,96,12,0.001098523328445783,0.0016189327932216507,18.216901598693617
1978-08-01,1978-07-01,102,12,0.0006530994732448647,0.000946432609895672,28.593526136487363
1979-02-01,1979-01-01,108,12,0.00037367577009231003,0.00048086052395370795,52.18536229089869
1979-08-01,1979-07-01,114,12,0.00022479210994297047,0.0003122096767532195,116.66945575669455
1980-02-01,1980-01-01,120,12,0.0002057201803674514,0.0003141960876555291,100.00278909002789
1980-08-01,1980-07-01,126,12,0.0004108249816102713,0.000613576408509164,92.32525051311261
1981-02-01,1981-01-01,132,12,0.0003682464331071099,0.0005915167597506871,89.0945860380171
1981-08-01,1981-07-01,138,12,9.619748099218819e-05,0.00021763716555011516,63.172575036804126
1982-02-01,1982-01-01,144,12,0.0004383570095349689,0.0011801047579560271,61.57474297614402
1982-08-01,1982-07-01,150,12,0.0007402152309766982,0.001461149533158004,44.491364488157025
1983-02-01,1983-01-01,156,12,0.0006072273331511759,0.0009726090919946557,50.03000927830291
1983-08-01,1983-07-01,162,12,0.0004676622606143563,0.0005813003971169662,60.88648701781386
1984-02-01,1984-01-01,168,12,0.00044142997248989023,0.0005914620644041871,38.11265886016005
1984-08-01,1984-07-01,174,12,0.00043083528111167194,0.0005800036322515581,11.788267470851787
1985-02-01,1985-01-01,180,12,0.0002615154771061781,0.00041234945033391605,50.01666524458056
1985-08-01,1985-07-01,186,12,0.00016770914778179208,0.0002395448024361084,70.5936792563246
1986-02-01,1986-01-01,192,12,0.0003101717970022106,0.00044449027118186355,20.015534049653162
1986-08-01,1986-07-01,198,12,0.0002538738474498605,0.00041233472429539416,37.51658825757027
1987-02-01,1987-01-01,204,12,0.00022915116444230713,0.00030328913070386574,71.4405642811672
1987-08-01,1987-07-01,210,12,0.0003425252901045339,0.00040042323485219223,19.063960286596547
1988-02-01,1988-01-01,216,12,0.0003765725186747741,0.00043186215688052147,8.015150428891188
1988-08-01,1988-07-01,222,12,0.00035549507238502,0.00043246008554990886,9.106975030623264
1989-02-01,1989-01-01,228,12,0.00028884797574986004,0.000401419140232121,0.0115532890565776
1989-08-01,1989-07-01,234,12,0.0007182255725346198,0.0010355054864159866,0.017239214011127796
1990-02-01,1990-01-01,240,12,0.002566324287833896,0.00540765235525865,2.281591754087016
1990-08-01,1990-07-01,246,12,0.0027742044448661658,0.0055966848183621335,2.747444489366228
1991-02-01,1991-01-01,252,12,0.0012360739052358998,0.0019152349784926507,0.04944217407845056
1991-08-01,1991-07-01,258,12,0.0011100707422899982,0.0013787743715790465,5.154259846555094
1992-02-01,1992-01-01,264,12,0.005337479806916133,0.014825318579604042,2.9045476503395546
1992-08-01,1992-07-01,270,12,0.004795445033901043,0.014783198799785728,19.340935925905065
1993-02-01,1993-01-01,276,12,0.0002645289294194475,0.000389617991877968,150.0
1993-08-01,1993-07-01,282,12,0.0010498337407390988,0.002387287375840483,40.0550577907479
1994-02-01,1994-01-01,288,12,0.0011206119482595107,0.0023938931392725954,0.03277249970559228
1994-08-01,1994-07-01,294,12,0.0008211621447080127,0.001217940544771445,3.9352794025224553
1995-02-01,1995-01-01,300,12,0.0010422156671431552,0.0014748483713441824,11.133366766943212
1995-08-01,1995-07-01,306,12,0.0007426268137676814,0.001036810551395623,2.540858610170472
1996-02-01,1996-01-01,312,12,0.0023958682664023956,0.003353293654023871,2.331571833440434
1996-08-01,1996-07-01,318,12,0.002649441384006875,0.0035052879031750206,3.762053682907645
1997-02-01,1997-01-01,324,12,0.0006521109478478948,0.0011547531569462825,0.018628497097324406
1997-08-01,1997-07-01,330,12,0.000544133455175888,0.0012203786333566627,20.009362375907163
1998-02-01,1998-01-01,336,12,0.0005236481684119399,0.0012204720537631003,44.45236233831037
1998-08-01,1998-07-01,342,12,0.00044893359445983785,0.0010319365738380762,76.93275532030482
1999-02-01,1999-01-01,348,12,0.0005905171069448003,0.0010727370616222267,107.7083906374811
1999-08-01,1999-07-01,354,12,0.001086170053475176,0.0021290616145194525,47.67493022737452
2000-02-01,2000-01-01,360,12,0.0012964908026266498,0.0022348312980153963,8.397189448338304
2000-08-01,2000-07-01,366,12,0.0006674214775159792,0.00089922948257486,37.54209788841299
2001-02-01,2001-01-01,372,12,0.0007370768658570783,0.0010930606832109096,45.475150938188676
2001-08-01,2001-07-01,378,12,0.0005600207900664396,0.0009924200407408765,38.10896405378589
2002-02-01,2002-01-01,384,12,0.0002974673429223859,0.0005619172805753609,61.545869438657185
2002-08-01,2002-07-01,390,12,0.00033993479057873856,0.0006086035983823061,42.87081162958833
2003-02-01,2003-01-01,396,12,0.00015762937926347285,0.00030202298062994486,46.16289952898714
2003-08-01,2003-07-01,402,12,0.00013090750956067416,0.0002232452626311298,66.67221958754527
2004-02-01,2004-01-01,408,12,0.0002202572143901408,0.0003486766157611834,66.68041529102649
2004-08-01,2004-07-01,414,12,0.00015491954803482317,0.0002882781393978687,100.00874377034587
2005-02-01,2005-01-01,420,12,8.42169073999333e-05,0.00015306797799227799,100.00384310538466
2005-08-01,2005-07-01,426,12,0.00023221682566308864,0.0004968749588871743,100.01717136036285
2006-02-01,2006-01-01,432,12,0.00023245633857198918,0.0005118893145723563,83.34666158831152
2006-08-01,2006-07-01,438,12,6.326006339149591e-05,0.00018999101299441937,50.0
2007-02-01,2007-01-01,444,12,1.5985000974057386e-05,3.793152397130009e-05,50.0
2007-08-01,2007-07-01,450,12,0.0002872088767484307,0.0005031162067970575,12.521019149184559
2008-02-01,2008-01-01,456,12,0.0008196478093517931,0.00112049010033082,7.4401004149220284
2008-08-01,2008-07-01,462,12,0.000857400432924137,0.0011173499813327897,8.372000103662886
2009-02-01,2009-01-01,468,12,0.0003439298059463341,0.0005004277714390261,15.415723447317076
2009-08-01,2009-07-01,474,12,0.0001462235145199433,0.0002906717717327638,83.33523392859621
2010-02-01,2010-01-01,480,12,0.0001854230758999854,0.00030686593974945184,116.6684819391002
2010-08-01,2010-07-01,486,12,0.00041526312468673394,0.0011373025544888509,71.45808895545132
2011-02-01,2011-01-01,492,12,0.00041043488991547426,0.0011371294095057227,71.45770517364333
2011-08-01,2011-07-01,498,12,0.0002818607389991086,0.0005024750480051375,100.02090747647425
2012-02-01,2012-01-01,504,12,0.00025897323830519444,0.0005019304265488641,83.3532060529049
2012-08-01,2012-07-01,510,12,0.0005140358161035125,0.0009571530176888939,42.12200244608694
2013-02-01,2013-01-01,516,12,0.0006074745811144187,0.0009853367609371619,23.094949297470524
2013-08-01,2013-07-01,522,12,0.00046765509131500366,0.0008783919845265258,4.77521196656453
2014-02-01,2014-01-01,528,12,0.0020781243956116894,0.004889867598207774,5.181353393431118
2014-08-01,2014-07-01,534,12,0.031344543177450994,0.04659946384892813,8.46541433185845
2015-02-01,2015-01-01,540,12,0.08536773252748363,0.13211534561198238,10.277518254176933
2015-08-01,2015-07-01,546,12,0.060528145673161005,0.12442712421721822,15.487362725272558
2016-02-01,2016-01-01,552,12,0.02448709244543046,0.04375273073711734,14.357127548043547
2016-08-01,2016-07-01,558,12,0.020651517346540253,0.04178422726050705,26.553731953877307
